Genotype,Envir,Management,Row,Position,Fruit_number,R,P,Fruit_number_spats_residuals,Fruit_number_spats_geno_pred_values,Fruit_number_spats_adj_pheno
12_B064,BEL_2022_1,1,25,88,86,25,88,20.7065149508642,59.8420216493507,80.548536600215
12_B064,BEL_2022_1,1,24,33,46,24,33,-7.85188004305891,59.8420216493507,51.9901416062918
12_B074,BEL_2022_1,1,24,92,113,24,92,36.2531571733541,72.3238704516487,108.577027625003
12_B081,BEL_2022_1,1,18,68,32,18,68,1.0027434234877,37.5306157474281,38.5333591709158
12_B081,BEL_2022_1,1,22,34,8,22,34,-29.9731567149299,37.5306157474281,7.55745903249821
12_B093,BEL_2022_1,1,23,11,26,23,11,-11.645645620638,40.9869915362841,29.3413459156461
12_B093,BEL_2022_1,1,20,93,25,20,93,-10.845432186564,40.9869915362841,30.1415593497201
12_B095,BEL_2022_1,1,23,23,67,23,23,18.5001723610668,50.5735561088203,69.0737284698871
12_B095,BEL_2022_1,1,19,99,24,19,99,-23.0202389700469,50.5735561088203,27.5533171387735
12_E003,BEL_2022_1,1,21,63,71,21,63,11.982272074475,48.5624198397684,60.5446919142435
12_E003,BEL_2022_1,1,19,19,31,19,19,-20.2724225480987,48.5624198397684,28.2899972916697
12_E014,BEL_2022_1,1,19,78,23,19,78,-25.9097479756724,51.1397789026118,25.2300309269394
12_E014,BEL_2022_1,1,22,13,75,22,13,22.4511248161075,51.1397789026118,73.5909037187193
12_E015,BEL_2022_1,1,22,36,53,22,36,-0.205090979450389,52.8753627264412,52.6702717469908
12_E017,BEL_2022_1,1,24,45,15,24,45,-19.6507773133248,39.5397566993603,19.8889793860355
12_E017,BEL_2022_1,1,22,101,31,22,101,-5.55329254269977,39.5397566993603,33.9864641566605
12_E024,BEL_2022_1,1,18,93,34,18,93,-5.94445196252111,51.1741526605786,45.2297006980575
12_E024,BEL_2022_1,1,23,27,52,23,27,2.55026598320708,51.1741526605786,53.7244186437857
12_E025,BEL_2022_1,1,21,11,66,21,11,0.106561955557325,47.9134182215743,48.0199801771316
12_E025,BEL_2022_1,1,26,67,34,26,67,-9.61333338447529,47.9134182215743,38.300084837099
12_E034,BEL_2022_1,1,23,16,87,23,16,19.8778010974944,69.8915276133971,89.7693287108914
12_E034,BEL_2022_1,1,25,84,86,25,84,11.8156767399109,69.8915276133971,81.7072043533079
12_E035,BEL_2022_1,1,25,108,66,25,108,6.33936159718959,58.8164099763872,65.1557715735768
12_E035,BEL_2022_1,1,25,43,58,25,43,4.59265768325575,58.8164099763872,63.409067659643
12_E039,BEL_2022_1,1,19,68,65,19,68,2.27986568044394,62.2434682376115,64.5233339180555
12_E039,BEL_2022_1,1,20,25,83,20,25,15.076530333024,62.2434682376115,77.3199985706355
12_E043,BEL_2022_1,1,21,48,81,21,48,8.55669660207107,59.9631685227656,68.5198651248367
12_E043,BEL_2022_1,1,19,88,60,19,88,4.52504070537869,59.9631685227656,64.4882092281443
12_F002,BEL_2022_1,1,22,6,87,22,6,25.7777268909809,59.5675134902881,85.345240381269
12_F002,BEL_2022_1,1,24,109,47,24,109,-13.4376860448116,59.5675134902881,46.1298274454766
12_F007,BEL_2022_1,1,20,97,64,20,97,13.2316863842635,55.9716021225146,69.2032885067781
12_F007,BEL_2022_1,1,20,51,51,20,51,-7.63255496076715,55.9716021225146,48.3390471617474
12_F014,BEL_2022_1,1,21,6,187,21,6,57.5725771451105,110.606246389309,168.17882353442
12_F014,BEL_2022_1,1,21,96,166,21,96,50.4448707149368,110.606246389309,161.051117104246
12_F019,BEL_2022_1,1,26,90,99,26,90,24.036647521162,69.0306764983294,93.0673240194914
12_F019,BEL_2022_1,1,19,4,80,19,4,6.04307547092522,69.0306764983294,75.0737519692546
12_F023,BEL_2022_1,1,25,99,87,25,99,33.6550996050231,48.493124909835,82.1482245148582
12_F023,BEL_2022_1,1,19,31,8,19,31,-42.0751506235593,48.493124909835,6.41797428627577
12_F040,BEL_2022_1,1,18,109,84,18,109,22.2054213294762,64.8301615401217,87.035582869598
12_F045,BEL_2022_1,1,23,110,158,23,110,67.3826700088999,88.9297854787942,156.312455487694
12_F046,BEL_2022_1,1,17,88,196,17,88,87.9235927057425,105.864770609479,193.788363315222
12_F046,BEL_2022_1,1,24,6,106,24,6,11.2054662334672,105.864770609479,117.070236842946
12_F052,BEL_2022_1,1,18,12,6,18,12,-29.8471862522563,43.4125801775475,13.5653939252913
12_F052,BEL_2022_1,1,25,74,55,25,74,11.9031263370844,43.4125801775475,55.315706514632
12_F054,BEL_2022_1,1,18,96,64,18,96,21.2928628850587,53.1354212010902,74.4282840861489
12_F054,BEL_2022_1,1,22,58,31,22,58,-21.010447237422,53.1354212010902,32.1249739636682
12_I002,BEL_2022_1,1,25,53,79,25,53,32.2139326154827,51.9086531250534,84.1225857405361
12_I002,BEL_2022_1,1,22,81,16,22,81,-34.2312211700413,51.9086531250534,17.677431955012
12_I003,BEL_2022_1,1,25,10,18,25,10,-20.9089469751297,50.2505631699084,29.3416161947787
12_I003,BEL_2022_1,1,17,111,82,17,111,15.7833965478105,50.2505631699084,66.0339597177189
12_I005,BEL_2022_1,1,25,50,23,25,50,-15.5669892473426,43.7454079429428,28.1784186956003
12_I005,BEL_2022_1,1,19,111,43,19,111,-1.75315044554942,43.7454079429428,41.9922574973934
12_I010,BEL_2022_1,1,22,35,25,22,35,-18.5020398719855,43.1149279849595,24.6128881129739
12_I037,BEL_2022_1,1,21,7,26,21,7,-27.2712671501793,34.6197973707588,7.34853022057949
12_I037,BEL_2022_1,1,24,104,30,24,104,-7.15577758074397,34.6197973707588,27.4640197900148
12_I049,BEL_2022_1,1,20,29,119,20,29,36.1646576598647,77.7679623250013,113.932619984866
12_I049,BEL_2022_1,1,25,92,94,25,92,10.2940152934021,77.7679623250013,88.0619776184033
12_I056,BEL_2022_1,1,22,114,95,22,114,26.3169899936093,73.5543056276631,99.8712956212724
12_I056,BEL_2022_1,1,21,22,102,21,22,12.2427457418073,73.5543056276631,85.7970513694703
12_I059,BEL_2022_1,1,21,2,192,21,2,77.9377246872983,94.5603374897533,172.498062177052
12_I062,BEL_2022_1,1,24,13,66,24,13,17.8412422004223,57.6281866883499,75.4694288887722
12_I062,BEL_2022_1,1,23,84,52,23,84,-9.13667091281493,57.6281866883499,48.491515775535
12_I064,BEL_2022_1,1,19,38,144,19,38,74.1465935342088,68.6003186255604,142.746912159769
12_I064,BEL_2022_1,1,18,73,16,18,73,-44.8736210826573,68.6003186255604,23.7266975429031
12_J001,BEL_2022_1,1,18,115,64,18,115,0.65100393258615,62.1346316371701,62.7856355697563
12_J001,BEL_2022_1,1,19,50,80,19,50,16.5013665667876,62.1346316371701,78.6359982039578
12_J004,BEL_2022_1,1,23,32,51,23,32,-25.0712241963368,77.4155429825018,52.344318786165
12_J004,BEL_2022_1,1,26,85,153,26,85,70.869250480757,77.4155429825018,148.284793463259
12_J013,BEL_2022_1,1,26,23,63,26,23,27.3021598385325,44.2384788031604,71.5406386416929
12_J013,BEL_2022_1,1,21,85,7,21,85,-43.6979869809336,44.2384788031604,0.540491822226798
12_J015,BEL_2022_1,1,17,28,96,17,28,29.0627789565752,63.5778090255916,92.6405879821668
12_J015,BEL_2022_1,1,19,82,51,19,82,-9.20502251710736,63.5778090255916,54.3727865084842
12_J019,BEL_2022_1,1,22,25,24,22,25,-19.3449055626554,42.4472661813125,23.1023606186571
12_J019,BEL_2022_1,1,20,108,38,20,108,-0.408735720782467,42.4472661813125,42.03853046053
12_J027,BEL_2022_1,1,18,87,5,18,87,-23.8083215035211,40.2843131163976,16.4759916128764
12_J028,BEL_2022_1,1,21,29,110,21,29,18.338993868194,76.5367088584383,94.8757027266323
12_J028,BEL_2022_1,1,26,77,103,26,77,25.8115665523678,76.5367088584383,102.348275410806
12_J029,BEL_2022_1,1,22,31,101,22,31,30.9188492891721,69.4783050898866,100.397154379059
12_J031,BEL_2022_1,1,25,32,16,25,32,-9.97461272388689,32.5203280547222,22.5457153308353
12_J031,BEL_2022_1,1,25,106,6,25,106,-28.3881053447934,32.5203280547222,4.13222270992883
12_K001,BEL_2022_1,1,19,18,92,19,18,36.3311981650774,52.839849717542,89.1710478826193
12_K001,BEL_2022_1,1,23,114,17,23,114,-36.6028619690031,52.839849717542,16.2369877485388
12_K010,BEL_2022_1,1,24,117,63,24,117,7.8728834233364,57.1845260992442,65.0574095225806
12_K016,BEL_2022_1,1,18,66,106,18,66,35.5593032986415,76.6818858728715,112.241189171513
12_K016,BEL_2022_1,1,18,4,79,18,4,8.86340651729176,76.6818858728715,85.5452923901633
12_K018,BEL_2022_1,1,19,8,8,19,8,-31.0787284761202,34.8221148718802,3.74338639575998
12_K018,BEL_2022_1,1,19,109,32,19,109,-2.96905108105522,34.8221148718802,31.8530637908249
12_K023,BEL_2022_1,1,25,35,105,25,35,37.9168813757409,73.2113775218491,111.12825889759
12_K024,BEL_2022_1,1,26,69,89,26,69,26.7456136560714,65.8019092848471,92.5475229409184
12_K024,BEL_2022_1,1,24,42,58,24,42,-2.71855022840947,65.8019092848471,63.0833590564376
12_K044,BEL_2022_1,1,19,71,138,19,71,55.5618880754406,82.6240362889997,138.18592436444
12_K045,BEL_2022_1,1,24,62,13,24,62,-26.514976127463,43.2363918439858,16.7214157165229
12_K045,BEL_2022_1,1,20,26,57,20,26,8.24063287758072,43.2363918439858,51.4770247215666
12_K049,BEL_2022_1,1,17,66,74,17,66,8.45699615222986,57.4961187153421,65.9531148675719
12_L001,BEL_2022_1,1,19,70,108,19,70,47.5231883122565,60.4224749419642,107.945663254221
12_L001,BEL_2022_1,1,23,7,23,23,7,-33.5804334066488,60.4224749419642,26.8420415353154
12_L005,BEL_2022_1,1,17,58,42,17,58,-24.554782340852,58.6433526972654,34.0885703564134
12_L005,BEL_2022_1,1,23,95,98,23,95,35.1623877734062,58.6433526972654,93.8057404706716
