Genotype,Envir,Management,Row,Position,Weight_sample,R,P,Weight_sample_spats_residuals,Weight_sample_spats_geno_pred_values,Weight_sample_spats_adj_pheno
12_P001,BEL_2019_1,1,22,107,3.2,22,107,0.228679502547892,2.97812597034958,3.20680547289748
12_P002,BEL_2019_1,1,17,94,4.4,17,94,0.585776629165772,4.02838814973987,4.61416477890564
12_P002,BEL_2019_1,1,19,16,4.7,19,16,0.687205693074901,4.02838814973987,4.71559384281477
12_P003,BEL_2019_1,1,25,90,4.28,25,90,0.757476232563564,3.31030532768558,4.06778156024914
12_P003,BEL_2019_1,1,24,31,3.38,24,31,-0.0765873878008776,3.31030532768558,3.2337179398847
12_P018,BEL_2019_1,1,25,23,2.88,25,23,-0.0865307585578052,2.90197321859622,2.81544246003841
12_P018,BEL_2019_1,1,26,118,3.46,26,118,0.430730337108859,2.90197321859622,3.33270355570507
12_P025,BEL_2019_1,1,18,95,4.16,18,95,0.919908330579769,3.40688634970865,4.32679468028842
12_P025,BEL_2019_1,1,18,7,3.14,18,7,-0.159383834563901,3.40688634970865,3.24750251514475
12_P027,BEL_2019_1,1,20,23,3,20,23,-0.682301628089576,3.66028234147696,2.97798071338738
12_P027,BEL_2019_1,1,17,73,5.24,17,73,1.65176318447943,3.66028234147696,5.31204552595639
12_P029,BEL_2019_1,1,20,74,2.42,20,74,-0.0391508352424768,2.37409341887784,2.33494258363537
12_P029,BEL_2019_1,1,18,3,2.18,18,3,-0.0519116154686223,2.37409341887784,2.32218180340922
12_P034,BEL_2019_1,1,26,28,2.5,26,28,-0.27964438414195,2.65708264851648,2.37743826437453
12_P034,BEL_2019_1,1,21,68,3.24,21,68,0.421920027477179,2.65708264851648,3.07900267599366
12_P055,BEL_2019_1,1,20,33,2.66,20,33,0.114302325706733,2.42472822970674,2.53903055541348
12_P055,BEL_2019_1,1,25,69,2.52,25,69,-0.163613963970669,2.42472822970674,2.26111426573608
12_P056,BEL_2019_1,1,22,85,3.32,22,85,0.384144568392987,2.79112495971055,3.17526952810354
12_P056,BEL_2019_1,1,18,18,2.6,18,18,-0.131344657206541,2.79112495971055,2.65978030250401
1218,BEL_2019_1,1,19,48,2.84,19,48,0.906545485767401,1.83471387810407,2.74125936387147
1218,BEL_2019_1,1,21,65,0.54,21,65,-1.44235204978787,1.83471387810407,0.392361828316204
1236,BEL_2019_1,1,25,116,1.98,25,116,-0.26351673823148,2.1649432320096,1.90142649377812
13_10,BEL_2019_1,1,23,17,1.5,23,17,-0.438381687884069,1.91745443418845,1.47907274630438
13_10,BEL_2019_1,1,26,103,2.04,26,103,-0.0292013480476747,1.91745443418845,1.88825308614078
13_109,BEL_2019_1,1,17,4,1.28,17,4,-0.467483905067263,1.94058451757503,1.47310061250777
13_109,BEL_2019_1,1,19,102,1.82,19,102,0.0189727242002868,1.94058451757503,1.95955724177532
13_139,BEL_2019_1,1,21,44,2.08,21,44,-0.340828419637102,2.25479862086839,1.91397020123129
13_139,BEL_2019_1,1,20,64,2.52,20,64,0.151401727881526,2.25479862086839,2.40620034874992
13_32,BEL_2019_1,1,25,98,3.12,25,98,0.175077290079298,2.79582563815261,2.9709029282319
13_32,BEL_2019_1,1,25,15,2.88,25,15,0.0815985543000646,2.79582563815261,2.87742419245267
13_35,BEL_2019_1,1,26,70,1.9,26,70,-0.279961345808513,1.91652050006152,1.63655915425301
13_35,BEL_2019_1,1,22,43,1.94,22,43,-0.188391763279077,1.91652050006152,1.72812873678244
13_38,BEL_2019_1,1,22,62,3.46,22,62,0.238331432335325,3.00765205745792,3.24598348979325
13_38,BEL_2019_1,1,26,43,3.44,26,43,0.193005380634527,3.00765205745792,3.20065743809245
130,BEL_2019_1,1,22,27,3.28,22,27,0.307813738780057,2.85784497280493,3.16565871158499
131,BEL_2019_1,1,17,34,1.5,17,34,-0.568713554119806,2.05416165207716,1.48544809795736
131,BEL_2019_1,1,19,90,2.22,19,90,0.213852128495517,2.05416165207716,2.26801378057268
133,BEL_2019_1,1,20,22,3.74,20,22,0.559021291032472,3.16250603546537,3.72152732649785
135,BEL_2019_1,1,21,102,2.46,21,102,-0.48712466437483,2.96536284808471,2.47823818370988
135,BEL_2019_1,1,23,25,3.72,23,25,0.638183276694431,2.96536284808471,3.60354612477914
135,BEL_2019_1,1,22,65,3.4,22,65,0.245408733969578,2.96536284808471,3.21077158205429
1377,BEL_2019_1,1,17,92,1.62,17,92,-0.305673031979279,2.11381665903887,1.80814362705959
140,BEL_2019_1,1,22,32,1.72,22,32,-0.507948493728658,2.0818768391754,1.57392834544674
140,BEL_2019_1,1,22,92,2.36,22,92,0.17593955949387,2.0818768391754,2.25781639866927
1446,BEL_2019_1,1,24,28,2.48,24,28,-0.0360390661276062,2.38240733060181,2.3463682644742
1446,BEL_2019_1,1,20,68,2.45,20,68,-0.0481681685096609,2.38240733060181,2.33423916209215
1448,BEL_2019_1,1,19,98,2.16,19,98,-0.251906389946126,2.54657606672002,2.29466967677389
1448,BEL_2019_1,1,24,23,2.92,24,23,0.30306409494537,2.54657606672002,2.84964016166539
1478,BEL_2019_1,1,22,30,3.66,22,30,0.379695960915309,3.13769330841164,3.51738926932695
1478,BEL_2019_1,1,19,114,3.08,19,114,0.158866055231679,3.13769330841164,3.29655936364332
1481,BEL_2019_1,1,19,80,3.34,19,80,0.994609217143355,2.34822559099637,3.34283480813972
1481,BEL_2019_1,1,18,55,1.32,18,55,-1.10700092360985,2.34822559099637,1.24122466738652
149,BEL_2019_1,1,26,81,3.1,26,81,0.815479609605402,2.01112043964717,2.82660004925257
149,BEL_2019_1,1,19,3,0.68,19,3,-1.20583056423644,2.01112043964717,0.805289875410738
15,BEL_2019_1,1,22,93,4.2,22,93,-0.141407285004951,4.26438721417288,4.12297992916793
15,BEL_2019_1,1,17,41,5.92,17,41,1.60898207269682,4.26438721417288,5.8733692868697
152,BEL_2019_1,1,25,20,2.84,25,20,0.398353044706196,2.3898710151954,2.78822405990159
152,BEL_2019_1,1,21,103,1.86,21,103,-0.476406116021231,2.3898710151954,1.91346489917417
163,BEL_2019_1,1,22,106,3.44,22,106,0.487025095294564,2.9418652182065,3.42889031350106
163,BEL_2019_1,1,19,32,2.9,19,32,-0.109932663652795,2.9418652182065,2.8319325545537
167,BEL_2019_1,1,18,64,0.38,18,64,-0.847571889009267,1.20120123034513,0.353629341335861
167,BEL_2019_1,1,23,55,1.24,23,55,-0.210596017070332,1.20120123034513,0.990605213274796
17,BEL_2019_1,1,22,24,3.2,22,24,0.288607539179459,2.83455195821393,3.12315949739338
170,BEL_2019_1,1,26,14,1.74,26,14,-0.323499477705218,2.09219699096111,1.76869751325589
173,BEL_2019_1,1,17,113,0.2,17,113,-0.867638042125689,1.43227322758518,0.564635185459486
1870,BEL_2019_1,1,21,86,2.84,21,86,0.134271050370895,2.64737478831558,2.78164583868647
1872,BEL_2019_1,1,18,69,0.28,18,69,-0.72270061499358,0.991463728685455,0.268763113691876
1872,BEL_2019_1,1,23,21,0.54,23,21,-0.508405847616248,0.991463728685455,0.483057881069207
1887,BEL_2019_1,1,21,89,1.8,21,89,0.196157621471247,1.54792283303162,1.74408045450286
1887,BEL_2019_1,1,20,39,0.7,20,39,-0.968437057382344,1.54792283303162,0.579485775649272
